RA,DEC,p_max,precisionX,s/n,id
217.2430608031756,-27.953883419264283,0.2338867243379354,0.4319710108418706,-1.0,SZ_G327.88+30.15
213.00038679323296,22.86320328422423,0.2338947770185769,0.4319771387822243,-1.0,SZ_G024.21+71.28
141.02267525369874,18.38827506157105,0.2339155124500394,0.4319929180603145,5.358838,SZ_G211.90+41.74
277.981484613382,-41.16423554503414,0.2339453762397169,0.4320156438494063,-1.0,SZ_G353.58-14.07
81.68606709080494,-12.435934209345117,0.233967789914459,0.4320327002394513,7.208383,SZ_G214.87-24.34
347.6264090673539,26.919331722260647,0.2340895999222993,0.4321253953922552,5.222708,SZ_G096.68-30.76
311.56134015084626,67.64161001947004,0.2340930672362447,0.4321280339537468,-1.0,SZ_G102.72+15.02
71.91624334463941,-28.413410855343923,0.2341042971238494,0.4321365796895689,-1.0,SZ_G229.00-38.28
199.3242686040013,-1.7495582044458744,0.2341290218755603,0.4321553947662487,-1.0,SZ_G316.13+60.46
350.9607455673778,9.08956121322254,0.234129911288619,0.4321560715930616,5.790264,SZ_G089.52-48.02
171.64094101094406,-78.4683636752283,0.2341327965259552,0.4321582672050682,-1.0,SZ_G298.61-16.32
332.40699540976584,5.1252585498898044,0.2341379625722766,0.4321621984703365,-1.0,SZ_G066.27-39.33
244.51956470236752,21.595365021456868,0.2341507258825004,0.4321719111122816,-1.0,SZ_G037.99+42.93
338.16842995902743,-13.615563847000596,0.2341886800713837,0.4322007935448539,-1.0,SZ_G048.57-54.94
102.86479679901257,39.914613231194366,0.234226169064641,0.432229321972198,-1.0,SZ_G176.26+17.02
215.62794206974843,-18.101540849535983,0.2342461459338665,0.4322445239985193,-1.0,SZ_G331.48+39.67
84.10301828640118,27.15167150886539,0.2343008839027081,0.4322861785758065,-1.0,SZ_G180.44-02.67
85.93014813190275,-7.448327498497948,0.2343250825069845,0.4323045932640642,-1.0,SZ_G211.95-18.43
302.5122418161883,-81.60650476744951,0.2344497041776777,0.4323994280400599,5.770004,SZ_G312.03-29.66
339.8219928932669,-13.07421900952828,0.2344554318115115,0.4324037866629912,-1.0,SZ_G050.78-56.09
240.03640358420608,79.6455114364806,0.2344577140174806,0.4324055233793316,5.417626,SZ_G113.80+33.87
349.79831308731826,-2.4330632079399948,0.2344588539563119,0.4324063908516028,5.1063519999999984,SZ_G077.19-56.88
283.0726074251388,-31.03961150861848,0.2344633522443473,0.4324098139652219,-1.0,SZ_G004.83-13.77
38.53152037474592,71.18076569865639,0.2344714407809079,0.432415969191264,-1.0,SZ_G131.09+09.95
126.05202179678128,17.777408880930214,0.234493451192975,0.4324327187059058,-1.0,SZ_G206.37+28.23
198.02708537685496,44.09930987791748,0.2345121642574668,0.4324469590003056,-1.0,SZ_G110.49+72.53
149.2284358088299,9.870299540257443,0.2345407949760556,0.4324687464452088,-1.0,SZ_G227.18+45.46
51.46384185126282,6.157641136685758,0.2345458589494228,0.4324726000348553,5.138276,SZ_G176.99-39.98
339.7572514285601,-49.61797477296058,0.2345603215508163,0.4324836058058087,7.024558,SZ_G342.35-56.14
173.8546755693407,-13.543902765363152,0.234565760474652,0.4324877447257955,-1.0,SZ_G276.16+45.34
223.5051916153056,48.77645378875275,0.2345764255151153,0.4324958606234375,-1.0,SZ_G083.66+57.95
132.7300988156654,-18.787056780794305,0.2345767030492425,0.4324960718217519,-1.0,SZ_G244.36+15.83
343.173755350282,-30.357080516605304,0.2346023288555444,0.4325155725842342,5.311885,SZ_G018.75-63.85
248.5111989232965,-15.27733449703325,0.2346252645365893,0.4325330262113772,-1.0,SZ_G001.71+21.36
166.55064423798692,-8.813781969190524,0.234668442979455,0.4325658842041663,-1.0,SZ_G263.90+45.93
26.21289818312573,3.154152670677983,0.2347229509614408,0.4326073637657293,-1.0,SZ_G148.05-57.09
38.63386345852231,37.73089280908384,0.2347524268552661,0.4326297943732845,6.159498999999999,SZ_G144.51-20.78
74.27282591940667,35.48768498091655,0.2347565661184489,0.4326329442756614,-1.0,SZ_G168.77-04.71
244.09078993271456,20.84238819045295,0.2347582196816802,0.4326342026065581,-1.0,SZ_G036.84+43.08
16.77453968654167,-17.296173362604915,0.2348197503015399,0.4326810262650664,-1.0,SZ_G143.94-79.52
29.2748432502678,3.5544051081803296,0.2348363641649485,0.432693669106444,-1.0,SZ_G152.77-55.47
38.931076861249416,8.795305757871244,0.2348438492044806,0.43269936508246,5.255136,SZ_G161.70-46.08
329.3170755681069,-2.5424982516906325,0.2348566418513656,0.4327091000490592,6.49191,SZ_G055.83-41.66
143.15186247375792,53.95910814629243,0.2348732110112905,0.4327217088719162,5.568114,SZ_G162.34+45.02
67.75379034890129,-18.46309035476453,0.2348942081443965,0.4327376873000947,-1.0,SZ_G215.38-39.04
206.32892516206056,38.824963459967535,0.234894759953022,0.4327381072162064,-1.0,SZ_G082.44+73.77
241.23565491378776,23.56701319884025,0.2348978398367762,0.4327404509505209,-1.0,SZ_G039.44+46.40
336.6907209852323,78.27429742921305,0.2349306183556716,0.4327653947943935,-1.0,SZ_G115.71+17.48
38.43710447932936,-48.694485248728256,0.2349465906620025,0.4327775494227546,-1.0,SZ_G267.27-60.74
